frame_num,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulde_x,LShoulde_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,action_gt_num
0,0.170922217,0.36806905700000003,0.091088755,0.40402207799999995,0.091088755,0.41840328600000004,0.104972835,0.555024768,0.143154056,0.648502624,0.094559775,0.39683147399999996,0.111914876,0.511881142,,,0.049436514,0.655693228,0.056378554000000004,0.8210771259999999,0.070262635,0.993651629,0.0008422330000000001,0.626930811,0.021668352999999998,0.828267731,0.007784273,0.986461024,0.167451197,0.346497244,,,0.13968303599999998,0.332116035,,,0
1,0.17439323699999998,0.36806905700000003,0.094559775,0.40402207799999995,0.094559775,0.41840328600000004,0.101501815,0.555024768,0.13968303599999998,0.648502624,0.104972835,0.40402207799999995,0.122327936,0.511881142,0.17439323699999998,0.526262351,0.052907534000000006,0.648502624,0.06332059400000001,0.813886522,0.066791615,0.993651629,0.0043132529999999995,0.626930811,0.035552434,0.8210771259999999,0.021668352999999998,0.979270421,0.170922217,0.346497244,,,0.143154056,0.332116035,,,0
2,0.177864257,0.375259661,0.098030795,0.40402207799999995,0.094559775,0.41840328600000004,0.101501815,0.555024768,0.13968303599999998,0.655693228,0.10844385599999999,0.40402207799999995,0.115385896,0.511881142,0.17439323699999998,0.526262351,0.052907534000000006,0.641312019,0.06332059400000001,0.8210771259999999,0.066791615,1.000842233,0.011255293000000001,0.619740206,0.049436514,0.8210771259999999,0.039023454,0.986461024,0.17439323699999998,0.35368784799999997,,,0.146625077,0.332116035,,,0
3,0.17439323699999998,0.382450265,0.101501815,0.41121268200000005,0.094559775,0.41840328600000004,0.101501815,0.555024768,0.132740996,0.655693228,0.111914876,0.41121268200000005,0.132740996,0.511881142,0.17439323699999998,0.5190717460000001,0.059849574,0.648502624,0.066791615,0.828267731,0.06332059400000001,0.993651629,0.011255293000000001,0.626930811,0.049436514,0.8210771259999999,0.035552434,0.979270421,0.17439323699999998,0.360878452,,,0.15009609699999998,0.33930663899999997,,,0
4,0.17439323699999998,0.382450265,0.104972835,0.40402207799999995,0.098030795,0.41840328600000004,0.098030795,0.555024768,0.129269976,0.655693228,0.115385896,0.41121268200000005,0.146625077,0.511881142,0.177864257,0.526262351,0.059849574,0.655693228,0.070262635,0.8210771259999999,0.059849574,0.993651629,0.014726313000000001,0.626930811,0.087617735,0.7995053129999999,0.052907534000000006,0.986461024,0.17439323699999998,0.36806905700000003,,,0.15009609699999998,0.33930663899999997,,,0
5,0.177864257,0.382450265,0.104972835,0.40402207799999995,0.101501815,0.41840328600000004,0.094559775,0.555024768,0.125798956,0.648502624,0.115385896,0.40402207799999995,0.153567117,0.526262351,0.181335277,0.526262351,0.06332059400000001,0.648502624,0.066791615,0.835458334,0.059849574,0.993651629,0.018197333,0.626930811,0.052907534000000006,0.828267731,0.049436514,0.979270421,0.17439323699999998,0.36806905700000003,,,0.15009609699999998,0.33930663899999997,,,0
6,0.177864257,0.382450265,0.10844385599999999,0.41121268200000005,0.098030795,0.41121268200000005,0.094559775,0.555024768,0.11885691599999999,0.648502624,0.125798956,0.41121268200000005,0.153567117,0.504690538,0.181335277,0.5190717460000001,0.052907534000000006,0.641312019,0.066791615,0.828267731,0.06332059400000001,0.993651629,0.091088755,0.655693228,0.129269976,0.8210771259999999,0.188277318,0.900173773,0.177864257,0.36806905700000003,,,0.15009609699999998,0.33930663899999997,,,0
7,0.181335277,0.382450265,0.111914876,0.41121268200000005,0.098030795,0.41121268200000005,0.091088755,0.5406435589999999,0.115385896,0.641312019,0.132740996,0.41840328600000004,0.157038137,0.511881142,0.184806298,0.5190717460000001,0.052907534000000006,0.641312019,0.06332059400000001,0.835458334,0.066791615,0.993651629,0.101501815,0.641312019,0.129269976,0.813886522,0.184806298,0.907364377,0.177864257,0.36806905700000003,,,0.153567117,0.346497244,,,0
8,0.184806298,0.382450265,0.115385896,0.41121268200000005,0.101501815,0.41121268200000005,0.084146715,0.533452955,0.111914876,0.634121415,0.132740996,0.41840328600000004,0.16050915699999999,0.511881142,0.184806298,0.526262351,0.052907534000000006,0.634121415,0.066791615,0.813886522,0.06332059400000001,0.986461024,0.087617735,0.634121415,0.13968303599999998,0.792314709,0.19174833800000002,0.8929831690000001,0.181335277,0.36806905700000003,,,0.157038137,0.346497244,,,0
9,0.188277318,0.382450265,0.11885691599999999,0.41121268200000005,0.104972835,0.41121268200000005,0.084146715,0.533452955,0.10844385599999999,0.634121415,0.136212016,0.41840328600000004,0.16050915699999999,0.497499934,0.184806298,0.5190717460000001,0.052907534000000006,0.634121415,0.070262635,0.8210771259999999,0.059849574,0.986461024,0.091088755,0.634121415,0.157038137,0.806695918,0.205632418,0.8929831690000001,0.184806298,0.36806905700000003,,,0.16050915699999999,0.346497244,,,0
